------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.4 Firmware v3.2.1 date format M/d/yyyy at 30 Hz  Filter Normal -----------
Serial Number: XXXXXXXXXXXXX
Start Time 00:00:00
Start Date 1/1/2000
Epoch Period (hh:mm:ss) 00:00:00
Download Time 00:10:00
Download Date 1/1/2000
Current Memory Address: 0
Current Battery Voltage: 3.93     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.023,0.112,0.951
-0.016,0.112,0.951
-0.015,0.129,0.951
-0.016,0.129,0.951
-0.016,0.129,0.951
-0.016,0.112,0.951
-0.016,0.112,0.951
-0.016,0.112,0.954
-0.016,0.129,0.957
-0.016,0.112,0.951
-0.016,0.112,0.957
-0.023,0.112,0.954
-0.016,0.129,0.954
-0.023,0.112,0.951
-0.015,0.129,0.957
-0.016,0.112,0.951
-0.015,0.129,0.954
-0.016,0.112,0.951
-0.015,0.112,0.951
-0.023,0.112,0.954
-0.016,0.129,0.951
-0.023,0.115,0.951
-0.015,0.129,0.951
-0.016,0.112,0.951
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
-0.016,0.112,0.954
